time_ms,emg_value
1762983997620,1004.0
1762983997621,805.0
1762983997622,943.0
1762983997623,829.0
1762983997624,786.0
1762983997625,810.0
1762983997626,711.0
1762983997627,656.0
1762983997628,759.0
1762983997629,789.0
1762983997630,782.0
1762983997631,704.0
1762983997632,575.0
1762983997633,559.0
1762983997634,656.0
1762983997635,1003.0
1762983997636,1058.0
1762983997637,730.0
1762983997638,777.0
1762983997639,741.0
1762983997640,775.0
1762983997641,713.0
1762983997642,715.0
1762983997643,804.0
1762983997644,656.0
1762983997645,624.0
1762983997646,813.0
1762983997647,816.0
1762983997648,723.0
1762983997649,858.0
1762983997650,826.0
1762983997651,795.0
1762983997652,883.0
1762983997653,883.0
1762983997654,1141.0
1762983997655,1040.0
1762983997656,1088.0
1762983997657,2041.0
1762983997658,1872.0
1762983997659,1756.0
1762983997660,1558.0
1762983997661,2021.0
1762983997662,2018.0
1762983997663,1988.0
1762983997664,1941.0
1762983997665,1732.0
1762983997666,2057.0
1762983997667,1851.0
1762983997668,1879.0
1762983997669,1782.0
1762983997670,1648.0
1762983997671,1535.0
1762983997672,1306.0
1762983997673,1693.0
1762983997674,1431.0
1762983997675,1307.0
1762983997676,1297.0
1762983997677,1251.0
1762983997678,1905.0
1762983997679,1436.0
1762983997680,1578.0
1762983997681,1586.0
1762983997682,1633.0
1762983997683,1584.0
1762983997684,1695.0
1762983997685,1703.0
1762983997686,2711.0
1762983997687,2790.0
1762983997688,1867.0
1762983997689,2315.0
1762983997690,2725.0
1762983997691,2686.0
1762983997692,2681.0
1762983997693,3407.0
1762983997694,2582.0
1762983997695,2641.0
1762983997696,3052.0
1762983997697,2849.0
1762983997698,2540.0
1762983997699,2785.0
1762983997700,2937.0
1762983997701,3155.0
1762983997702,3483.0
1762983997703,2782.0
1762983997704,2288.0
1762983997705,3185.0
1762983997706,3696.0
1762983997707,3263.0
1762983997708,3357.0
1762983997709,2880.0
1762983997710,2543.0
1762983997711,2176.0
1762983997712,2240.0
1762983997713,1828.0
1762983997714,2102.0
1762983997715,1840.0
1762983997716,2505.0
1762983997717,2118.0
1762983997718,2492.0
1762983997719,2448.0
1762983997720,2425.0
1762983997721,2149.0
1762983997722,1643.0
1762983997723,1418.0
1762983997724,1397.0
1762983997725,1482.0
1762983997726,1189.0
1762983997727,976.0
1762983997728,879.0
1762983997729,919.0
1762983997730,1620.0
1762983997731,1297.0
1762983997732,990.0
1762983997733,880.0
1762983997734,805.0
1762983997735,813.0
1762983997736,1407.0
1762983997737,1200.0
1762983997738,1197.0
1762983997739,1478.0
1762983997740,1499.0
1762983997741,1621.0
1762983997742,1467.0
1762983997743,1227.0
1762983997744,1925.0
1762983997745,1710.0
1762983997746,1535.0
1762983997747,1425.0
1762983997748,1507.0
1762983997749,1389.0
1762983997750,1721.0
1762983997751,2366.0
1762983997752,2349.0
1762983997753,2423.0
1762983997754,2039.0
1762983997755,1953.0
1762983997756,3327.0
1762983997757,3557.0
1762983997758,3478.0
1762983997759,3599.0
1762983997760,4032.0
1762983997761,2609.0
1762983997762,2211.0
1762983997763,2240.0
1762983997764,2590.0
1762983997765,4095.0
1762983997766,3440.0
1762983997767,4095.0
1762983997768,4057.0
1762983997769,4095.0
1762983997770,4095.0
1762983997771,4095.0
1762983997772,4095.0
1762983997773,4095.0
1762983997774,4095.0
1762983997775,4095.0
1762983997776,4095.0
1762983997777,4095.0
1762983997778,3165.0
1762983997779,2508.0
1762983997780,2087.0
1762983997781,2000.0
1762983997782,2404.0
1762983997783,2266.0
1762983997784,1808.0
1762983997785,1627.0
1762983997786,1753.0
1762983997787,1728.0
1762983997788,1454.0
1762983997789,1332.0
1762983997790,1153.0
1762983997791,1178.0
1762983997792,1810.0
1762983997793,1464.0
1762983997794,1407.0
1762983997795,1295.0
1762983997796,1200.0
1762983997797,1406.0
1762983997798,1096.0
1762983997799,1008.0
1762983997800,851.0
1762983997801,1166.0
1762983997802,1246.0
1762983997803,1088.0
1762983997804,1071.0
1762983997805,1136.0
1762983997806,1181.0
1762983997807,1271.0
1762983997808,1409.0
1762983997809,1367.0
1762983997810,1455.0
1762983997811,1210.0
1762983997812,1162.0
1762983997813,960.0
1762983997814,746.0
1762983997815,679.0
1762983997816,879.0
1762983997817,647.0
1762983997818,603.0
1762983997819,606.0
1762983997820,720.0
1762983997821,1318.0
1762983997822,1141.0
1762983997823,950.0
1762983997824,1059.0
1762983997825,1227.0
1762983997826,924.0
1762983997827,842.0
1762983997828,827.0
1762983997829,1916.0
1762983997830,1927.0
1762983997831,1856.0
1762983997832,2081.0
1762983997833,1965.0
1762983997834,1739.0
1762983997835,2308.0
1762983997836,1776.0
1762983997837,2047.0
1762983997838,1719.0
1762983997839,1653.0
1762983997840,1693.0
1762983997841,2144.0
1762983997842,2167.0
1762983997843,2018.0
1762983997844,2091.0
1762983997845,2068.0
1762983997846,2288.0
1762983997847,2090.0
1762983997848,1856.0
1762983997849,1702.0
1762983997850,1300.0
1762983997851,1269.0
1762983997852,1231.0
1762983997853,1681.0
1762983997854,1693.0
1762983997855,1564.0
1762983997856,1347.0
1762983997857,1584.0
1762983997858,1728.0
1762983997859,1573.0
1762983997860,1695.0
1762983997861,1904.0
1762983997862,1602.0
1762983997863,1902.0
1762983997864,2355.0
1762983997865,2118.0
1762983997866,2480.0
1762983997867,2994.0
1762983997868,2501.0
1762983997869,2559.0
1762983997870,3410.0
1762983997871,4095.0
1762983997872,4095.0
1762983997873,4087.0
1762983997874,4095.0
1762983997875,3488.0
1762983997876,3200.0
1762983997877,2781.0
1762983997878,2359.0
1762983997879,2175.0
1762983997880,2115.0
1762984026097,1842.0
